Date,Close/Last,Volume,Open,High,Low
03/20/2024,$425.23,17860090,$422.00,$425.96,$420.66
03/19/2024,$421.41,19837920,$417.83,$421.6656,$415.55
03/18/2024,$417.32,20105980,$414.25,$420.73,$413.78
03/15/2024,$416.42,45079900,$419.29,$422.60,$412.79
03/14/2024,$425.22,34157300,$420.24,$427.82,$417.99
03/13/2024,$415.10,17115930,$418.10,$418.18,$411.45
03/12/2024,$415.28,22457000,$407.62,$415.57,$406.79
03/11/2024,$404.52,16120750,$403.762,$405.68,$401.26
03/08/2024,$406.22,18002190,$407.96,$410.42,$404.33
03/07/2024,$409.14,18718480,$406.12,$409.78,$402.24
03/06/2024,$402.09,22344150,$402.97,$405.16,$398.39
03/05/2024,$402.65,26919180,$413.96,$414.25,$400.64
03/04/2024,$414.92,17595960,$413.44,$417.35,$412.32
03/01/2024,$415.50,17823450,$411.27,$415.87,$410.88
02/29/2024,$413.64,31947260,$408.64,$414.20,$405.92
02/28/2024,$407.72,13183130,$408.175,$409.30,$405.3201
02/27/2024,$407.48,14835830,$407.99,$408.32,$403.85
02/26/2024,$407.54,16193510,$411.455,$412.16,$407.36
02/23/2024,$410.34,16295880,$415.67,$415.86,$408.97
02/22/2024,$411.65,27009870,$410.19,$412.83,$408.57
02/21/2024,$402.18,18631070,$400.17,$402.29,$397.22
02/20/2024,$402.79,24307920,$403.24,$404.49,$398.01
02/16/2024,$404.06,22296500,$407.96,$408.29,$403.44
02/15/2024,$406.56,21825530,$408.14,$409.13,$404.29
02/14/2024,$409.49,20401190,$408.07,$409.84,$404.57
02/13/2024,$406.32,27824940,$404.94,$410.071,$403.39
02/12/2024,$415.26,21202920,$420.555,$420.74,$414.75
02/09/2024,$420.55,22032840,$415.25,$420.82,$415.09
02/08/2024,$414.11,21225260,$414.05,$415.56,$412.53
02/07/2024,$414.05,22340530,$407.44,$414.30,$407.40
02/06/2024,$405.49,18382620,$405.88,$407.97,$402.91
02/05/2024,$405.65,25352290,$409.90,$411.16,$403.99
02/02/2024,$411.22,28256670,$403.81,$412.65,$403.56
02/01/2024,$403.78,30657730,$401.83,$408.00,$401.80
01/31/2024,$397.58,47871100,$406.96,$415.32,$397.21
01/30/2024,$408.59,33477610,$412.26,$413.05,$406.4501
01/29/2024,$409.72,24510240,$406.06,$409.98,$404.33
01/26/2024,$403.93,17803270,$404.37,$406.17,$402.43
01/25/2024,$404.87,21021160,$404.32,$407.01,$402.5294
01/24/2024,$402.56,24866950,$401.54,$405.63,$400.45
01/23/2024,$398.90,20525880,$395.75,$399.38,$393.93
01/22/2024,$396.51,27016900,$400.02,$400.62,$393.59
01/19/2024,$398.67,29331140,$395.76,$398.67,$393.50
01/18/2024,$393.87,23392070,$391.72,$393.99,$390.12
01/17/2024,$389.47,22234110,$387.98,$390.11,$384.81
01/16/2024,$390.27,27202270,$393.66,$394.03,$387.6229
01/12/2024,$388.47,21661150,$385.49,$388.68,$384.65
01/11/2024,$384.63,27850850,$386.00,$390.68,$380.38
01/10/2024,$382.77,25514250,$376.37,$384.17,$376.32
01/09/2024,$375.79,20829950,$372.01,$375.99,$371.19
01/08/2024,$374.69,23133970,$369.30,$375.20,$369.01
01/05/2024,$367.75,21004580,$368.97,$372.06,$366.50
01/04/2024,$367.94,20901500,$370.665,$373.10,$367.17
01/03/2024,$370.60,23083470,$369.01,$373.2562,$368.51
01/02/2024,$370.87,25258630,$373.86,$375.90,$366.771
12/29/2023,$376.04,18730840,$376.00,$377.16,$373.48
12/28/2023,$375.28,14327010,$375.37,$376.458,$374.16
12/27/2023,$374.07,14905410,$373.69,$375.06,$372.8116
12/26/2023,$374.66,12673050,$375.00,$376.94,$373.50
12/22/2023,$374.58,17107480,$373.68,$375.18,$372.71
12/21/2023,$373.54,17708010,$372.56,$374.41,$370.04
12/20/2023,$370.62,26316650,$375.00,$376.03,$370.53
12/19/2023,$373.26,20603660,$371.49,$373.26,$369.84
12/18/2023,$372.65,21802880,$369.45,$373.00,$368.68
12/15/2023,$370.73,78502320,$366.85,$372.40,$366.28
12/14/2023,$365.93,43277460,$373.31,$373.76,$364.13
12/13/2023,$374.37,30955530,$376.02,$377.6361,$370.77
12/12/2023,$374.38,24838250,$370.85,$374.42,$370.46
12/11/2023,$371.30,27708760,$368.48,$371.60,$366.10
12/08/2023,$374.23,20154370,$369.20,$374.46,$368.23
12/07/2023,$370.95,23118860,$368.23,$371.4527,$366.32
12/06/2023,$368.80,21182070,$373.54,$374.18,$368.03
12/05/2023,$372.52,23065040,$366.45,$373.075,$365.621
12/04/2023,$369.14,32063310,$369.10,$369.52,$362.90
12/01/2023,$374.51,33040470,$376.76,$378.16,$371.31
11/30/2023,$378.91,30554420,$378.49,$380.09,$375.47
11/29/2023,$378.85,28963400,$383.76,$384.30,$377.44
11/28/2023,$382.70,20453110,$378.35,$383.00,$378.16
11/27/2023,$378.61,22179230,$376.78,$380.64,$376.20
11/24/2023,$377.43,10176650,$377.33,$377.97,$375.135
11/22/2023,$377.85,23361180,$378.00,$379.7899,$374.965
11/21/2023,$373.07,28423150,$375.67,$376.2215,$371.12
11/20/2023,$377.44,52528960,$371.22,$378.87,$371.00
11/17/2023,$369.85,40325370,$373.61,$374.37,$367.00
11/16/2023,$376.17,27182320,$370.96,$376.35,$370.18
11/15/2023,$369.67,26860100,$371.28,$373.13,$367.11
11/14/2023,$370.27,27683860,$371.01,$371.95,$367.3454
11/13/2023,$366.68,19986510,$368.22,$368.47,$365.90
11/10/2023,$369.67,28065160,$361.49,$370.10,$361.07
11/09/2023,$360.69,24847330,$362.30,$364.79,$360.362
11/08/2023,$363.20,26767830,$361.68,$363.87,$360.55
11/07/2023,$360.53,25833930,$359.40,$362.46,$357.63
11/06/2023,$356.53,23828300,$353.45,$357.54,$353.35
11/03/2023,$352.80,23637670,$349.63,$354.39,$347.33
11/02/2023,$348.32,24348070,$347.24,$348.83,$344.77
11/01/2023,$346.07,28158820,$339.79,$347.42,$339.65
10/31/2023,$338.11,20265280,$338.85,$339.00,$334.69
10/30/2023,$337.31,22828080,$333.41,$339.45,$331.83
10/27/2023,$329.81,29856520,$330.425,$336.72,$328.4007
10/26/2023,$327.89,37828540,$340.54,$341.63,$326.94
10/25/2023,$340.67,55053830,$345.02,$346.20,$337.62
10/24/2023,$330.53,31153570,$331.30,$331.84,$327.60
10/23/2023,$329.32,24374750,$325.47,$332.725,$324.39
10/20/2023,$326.67,25027720,$331.72,$331.92,$325.45
10/19/2023,$331.32,25052070,$332.15,$336.88,$330.91
10/18/2023,$330.11,23153600,$332.49,$335.59,$328.30
10/17/2023,$332.06,18338520,$329.59,$333.46,$327.41
10/16/2023,$332.64,22158050,$331.05,$336.14,$330.60
